id,type,filename,prompt
1,eyecatch,eyecatch.png,"* Subject: (Collage of diverse AI-generated design works: logo, product packaging, 3D object, poster, apparel pattern, and typography. Text overlay 'Design x AI' in center.) * Layout: (Radial arrangement with designs spreading from center. Clean white border between items. Modern magazine cover composition.) * Visuals: (Vibrant mix of professional designs, blue #4285F4 and orange #FF6B35 color accents, modern tech aesthetic, clean and polished.) * Style: (Modern graphic design collage, professional quality, content marketing header, 1280x670px, --ar 16:9.)"
2,cta,cta_01.png,"* Subject: (LINE registration call-to-action banner. Text: 'NanoBanana Pro デザインプロンプト職人 Gem を無料で受け取る' with LINE icon and Gemini sparkle icon.) * Layout: (Horizontal banner, text centered, LINE green icon on right, sparkle icon on left, arrow pointing right.) * Visuals: (Bold orange #FF6B35 to coral gradient background, white Japanese text, clean sans-serif font, subtle glow effect behind text.) * Style: (Social media CTA banner, bold and clickable, marketing design, 1080x400px, --ar 27:10.)"
3,section,section_p.png,"* Subject: (Section divider for 'Problem' section. Silhouette of person at desk with head in hands, surrounded by floating social media notifications and design software icons.) * Layout: (Wide horizontal banner, figure centered, icons floating around, dark gradient edges.) * Visuals: (Dark blue #1A237E background, dim purple lighting, notification badges in red, stressed atmosphere, digital overwhelm visualization.) * Style: (Conceptual illustration, moody atmosphere, section divider banner, 1280x400px, --ar 16:5.)"
4,inline,inline_01.png,"* Subject: (Comparison infographic of 4 design methods. Title: 'デザイン手段 徹底比較'. Four columns: 外注, Canva, Midjourney, NanoBanana Pro. Rating stars for コスト, 品質, 手軽さ, 日本語.) * Layout: (Clean 4-column table layout with header row. NanoBanana Pro column highlighted with blue border. Star ratings in each cell.) * Visuals: (White background, clean modern infographic, blue #4285F4 highlight for winner column, gray text, gold stars for ratings, professional data visualization.) * Style: (Clean infographic design, flat modern style, educational diagram, 1080x1080px, --ar 1:1.)"
5,section,section_a.png,"* Subject: (Section divider for 'Agitation' section. Accelerating clock with AI tool icons streaming past at high speed. Urgency visualization.) * Layout: (Wide horizontal banner, large clock face center-left, speed lines and tool icons streaming right, gradient background.) * Visuals: (Red #E53935 to orange #FF6B35 gradient background, white clock hands blurred with motion, AI tool silhouettes in motion blur, urgent and dynamic energy.) * Style: (Dynamic motion graphic style, urgency visualization, section divider banner, 1280x400px, --ar 16:5.)"
6,inline,inline_02.png,"* Subject: (Staircase timeline infographic. Title: 'AIデザイン導入 加速タイムライン'. Four ascending steps: 2024年 一部企業が活用, 2025年 フリーランスに普及, 2026年前半 使わない人が不利に, 2026年後半 当たり前の時代.) * Layout: (Steps ascending from bottom-left to top-right. Each step is a colored block with year and description. Arrow pointing up.) * Visuals: (Blue to green gradient steps, white Japanese text on each step, dark background, golden arrow at top, professional infographic style.) * Style: (Staircase infographic, clean modern design, motivational visualization, 1080x1080px, --ar 1:1.)"
7,section,section_s.png,"* Subject: (Section divider for 'Solution' section. An ornate door opening to reveal colorful design works inside. NanoBanana Pro logo centered above door.) * Layout: (Wide horizontal banner, door opening in center, light rays streaming out, colorful designs visible through opening.) * Visuals: (Dark frame around bright opening, warm golden light rays, blue #4285F4 and green #0F9D58 tones, hopeful and exciting atmosphere, promise of possibilities.) * Style: (Conceptual illustration, hopeful mood, section divider banner, 1280x400px, --ar 16:5.)"
8,inline,inline_03.png,"* Subject: (Honeycomb diagram showing 8 categories of NanoBanana Pro. Center hexagon: NanoBanana Pro. Surrounding 8 hexagons: ブランド製品, ブランドID, 3Dオブジェクト, ポスター, アイコン, モックアップ, アパレル, タイポグラフィ.) * Layout: (Honeycomb cluster arrangement, center hex larger, 8 surrounding hexes evenly distributed, small icons in each hex.) * Visuals: (Blue #4285F4 center hex, green #0F9D58 surrounding hexes with white text, subtle gradient backgrounds, thin white borders between hexes, clean flat design.) * Style: (Honeycomb infographic, flat modern design, category visualization, 1080x1080px, --ar 1:1.)"
9,inline,inline_04.png,"* Subject: (4-step horizontal flow diagram. Title: 'プロンプト1つで完成するまで'. Steps: カテゴリを選ぶ → プロンプトをコピペ → Geminiに入力 → 30秒でプロ級デザイン完成!) * Layout: (4 circles connected by arrows left to right. Each circle has an icon and step text below. Final step has sparkle effect.) * Visuals: (Clean white background, teal #00897B circles with white icons, gray arrows, Japanese text below each step, sparkle burst on final step, encouraging and simple.) * Style: (Horizontal flow diagram, clean flat design, step-by-step guide, 1080x1080px, --ar 1:1.)"
10,section,section_c.png,"* Subject: (Section divider for 'Credibility' section. Shield icon with checkmark inside, surrounded by trust badges showing Google logo silhouette and '94-96% 精度' badge.) * Layout: (Wide horizontal banner, large shield center, trust elements flanking on both sides, dark prestigious background.) * Visuals: (Deep navy #0D47A1 background, golden shield with blue checkmark, metallic gold trust badges, premium and authoritative atmosphere.) * Style: (Trust and authority visualization, premium design, section divider banner, 1280x400px, --ar 16:5.)"
